Name,Latitude,Longitude
Lodhran,29.539039499782877,71.63441959999999
Mandi Bahauddin,32.58463509959224,73.49141689999999
Mansehra,34.33181293709788,73.20433640448978
Mansehra,34.32868549961421,73.1993125
Mardan,34.193796899608614,72.04514669999999
Matli,25.0441564002542,68.65893579999998
Mehar,27.17974000003797,67.8227579
Mehrabpur,27.101868500046603,68.41712949999999
Mianwali,32.570553299592504,71.5239763
Mingora,34.76813089963694,72.3684619
Mirpur,33.14863509958747,73.7482102
Mirpur Khas,25.526281700210635,69.01106169999998
Mirpur Mathelo,28.02246849994374,69.55215530000001
Mithi,24.736412000279778,69.79734189999999
Moro,26.663619900094627,68.0024421
Multan,30.197979299722423,71.4724978
Muridke,31.80108629961668,74.2540999
Muzaffarabad,34.374060681016864,73.4686712420546
Muzaffarabad,34.3734750996162,73.47024069999999
Muzaffargarh,30.077808299732848,71.1888419
Narowal,32.10097519960498,74.872238
Naudero,27.664717299983764,68.36003389999999
Nawabshah,26.245291500139047,68.4040229
Nowshera,34.01556059960221,71.981283
Okara,30.809128099674314,73.4493301
Pakpattan,30.342250299710322,73.3891875
Pano Aqil,27.855823999962354,69.1127479
Pasrur,32.263873399599824,74.662699
Peshawar,34.01238459960209,71.57874579999998
Qambar,27.589243099992224,67.9996747
Quetta,30.195767699722623,67.0172447
Rabwah,31.75405279961877,72.920008
Rahimyar Khan,28.417606999899977,70.30365119999999
Raiwind,31.244358299645636,74.21381259999998
Rajana,30.853044287354912,72.55176921099773
Rawalpindi,33.591423699591616,73.0535122
Sadiqabad,28.308666399911967,70.1283004
Sahiwal,30.67150979968439,73.11105719999999
Sahiwal Tehsil,31.977584299609443,72.32944990000001
Sakrand,26.13597150015036,68.2734653
Sambrial,32.47564809959444,74.3529135
Samundri,31.06514299965684,72.9588416
Sanghar,26.04704470015947,68.9492402
Sargodha,32.08980049960537,72.67825739999999
Sehwan,26.425595900120115,67.8625638
Shabqadar,34.21465339960944,71.5559253
Shahdadkot,27.84680139996336,67.90811599999999
Shakar Garh,32.26295759959985,75.1604119
Shehr Sultan,29.574805199779398,71.0222905
Sheikhupura,31.70852849962086,73.98640140000002
Sheikhupura,31.710836080775863,73.98608468183423
Shikarpur,27.955660799951193,68.6408686
Shorkot,30.834906699672477,72.0764093
Shujaabad,29.880997199750528,71.2931695
Sialkot,32.493537799594044,74.5411575
Sibi,29.550009699781803,67.88333979999999
Sindhuwali,29.878942588525852,73.0717065847625
Skardu,35.28752839967246,75.6074375
Sukkur,27.696188299980236,68.8588754
Swabi,34.126214399606056,72.47431639999999
Talagang,32.92351079958805,72.4139769
Tandlianwala,31.032197299659,73.1330041
Tando Adam,25.762095400187945,68.6578079
Tando Allahyar,25.461990700216678,68.7198264
Tando Jam,25.426784700219958,68.5341492
Taxila,33.74745509959476,72.8073364
Thana,34.63688099962944,72.0738791
Toba Tek Singh,30.977705599662624,72.48607989999998
Turbat,26.002789400163966,63.0505609
Uch Sharif,29.23895429981278,71.06148
Umerkot,25.365530200225603,69.74012569999998
Vehari,30.045224119393954,72.35528236383837
Vehari,30.044787099735764,72.3489871
Wah Cantonment,33.787537899595705,72.7264725
Wazirabad,32.441742699595196,74.11821169999999
Zhob,31.339705799640047,69.4476997
