Name,Latitude,Longitude
Cheenji,32.708333699590256,72.3677648
Chelhar,24.97581270026004,69.91782789999999
Chenab Gardens,31.34807977780956,73.07836510399677
Chibban,31.434027304426213,73.1042775364258
Chikkar,34.14924379960691,73.67649999999999
Chilas,35.419520999682945,74.0962929
Chishtian Sharif,29.794561099758518,72.857779
Choa Saidan Shah,32.71939669959009,72.9878142
Choha Khalsa,33.409977699589064,73.4822727
Chota Lahore,34.04938019960334,72.3646955
Chotibala,29.843558099753963,70.4958015
Chowk Azam,30.967286299663325,71.21332439999999
Chuhar Jamali,24.394907700305883,67.9932105
Chukara,33.032023399587544,71.0317197
Chunawala,29.494051999787274,72.6545157
Chung,31.43258339963484,74.1743479
Chunian,30.963195399663597,73.98071829999999
Civil Lines,31.561591899628024,74.3354559
Clifton,24.819055200273098,67.0262397
Colonel Sher Kalay,34.2112865996093,72.34116159999999
D-12,33.70181769959376,72.94861889999999
Dab Balochan,32.2107308996014,71.46656709999999
Dabhri,24.54620120029463,69.5621118
Dadyal,33.342945799588435,73.69414289999999
Dalbandin,28.89634829984834,64.4097124
Dalowali,32.52480119959339,74.6054985
Dalwaal,31.29339419689679,73.02956219388808
Daraban,31.733667599619697,70.33531089999998
Daraki,32.311991399598455,70.5921688
Darkali Mamuri,33.383271299588785,73.3372743
Darra Adam Khel,33.68501139959339,71.5166239
Daud Khel,32.87405539958841,71.57057899999998
daulatpur,26.502276100111956,67.9742897
Daultala Tehsil,33.19302299958756,73.1402413
Daur,26.456027400116884,68.3181733
Defence,24.832849600271963,67.0630248
Dera Bugti,29.03340139983395,69.1500387
DHA City,25.02487640025586,67.45094249999998
Dhadar,29.48806989978786,67.6422752
Dhanola,31.510225265707277,73.10628751312846
Dharyal,34.50755399962263,73.264551
Dhirkot,34.03569849960288,73.5797927
Dhodial,34.43444989961905,73.25617659999999
Diglus Pura,31.415731097719497,73.07410012458335
Digri,25.15707170024437,69.1107851
Dijkot,31.216649699647316,72.99526599999999
Dilowala Bangla,30.352988289212842,73.00673842792268
Dina,33.02792369958755,73.60108089999999
Dinga,32.63999269959128,73.7235647
Diplo,24.466146400300648,69.58716759999999
Diplomatic Enclave,33.723606099594214,73.1118305
Doaba,33.42501349958923,70.7362943
Doberan Kallan,33.4477682995895,73.5050371
Dograwala Chak 208,31.424327994606784,73.16604297519596
Drosh,35.561627099694846,71.797564
Dudhial,33.06487939958747,72.97136320000001
Duki,30.149236299726613,68.57495099999998
Dullewala,31.841494499614935,71.4367739
Dunga Bunga,29.748607799762805,73.243747
Dunga Bunga,29.751252304011025,73.24196429531543
Dunyapur,29.802534999757757,71.7419973
Echrian,34.49565499962203,73.25152050000001
Eden Garden,31.427628801838804,73.14486675691907
Elahi Abad,31.37998236991573,73.10835599755343
Eminabad,32.04047759960711,74.26021919999998
Faisalabad,31.41278582171566,73.05351964785528
Faisalabad Locality,31.418133420281436,73.05552197838907
Faisal Gardens,31.462625531738453,73.173827111674
Faisal Town,31.458406868312558,73.16211792357994
Faisal Town,31.3983535938513,73.16150750229549
Faqeer Kalay,34.056077899603565,71.54172539999999
Faqirwali,29.46749189978988,73.03608139999999
Fareed Colony,31.42898163060644,73.05535762198672
Fareed Town,31.400971020976097,73.13617039492628
Farooka,31.82459689961566,72.5366529
Fateh Din 24,31.380139911466436,73.09773009757393
Fateh Jang,33.56906279959124,72.63497759999998
Fateh Pur,31.178189999649682,71.20603460000001
Fatehpur Thakiala,33.48735529959001,74.1045181
Fazilpur,29.294185199807185,70.4537782
FDA City,31.525286444618914,73.08721213883419
Firoza,28.764468599862365,70.81382209999998
Fort Monroe,29.925333299746473,69.9860243
Forward Kahuta,33.88373999959822,74.1046671
Four Seasons Housing,31.342529169718446,73.06471087077976
Gaddani,25.119117600247698,66.732175
Gaggoo,30.222032699720373,72.8249242
Gajar,27.117066146567847,65.56013799243034
Gajju Matah,31.387303899637345,74.362676
Gambat,27.352396700018726,68.52403259999998
Gandi Khān Khel,32.74665979958975,70.7670321
Garhi Habibullah,34.40069009961746,73.378452
